MMV,Make,Model,Variant,Type,Transmission,Fuel Type,Age,No of Owners,Color,Health Score,Price Score,Distance,On Road Price,Current Price,Dep
NissanBirdX,Nissan,Bird,X,Hatchback,Manual,Petrol,8,1,Black,4.8,9.2,"50,237",755762,389238,48.5
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,12,2,Silver,6.8,9.2,"60,000",2426682,215600,91.1
MitsubishiPajeroLDi,Mitsubishi,Pajero,LDi,Hatchback,Manual,Diesel,10,1,Red,4.8,5.8,"85,000",566633,225002,60.3
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,8,1,Red,5,8.8,"49,991",482567,175120,63.7
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol + CNG,9,2,White,5,9.4,"65,000",741508,206800,72.1
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,diesel,8,1,Red,6.4,9.2,"58,000",806541,315382,60.9
MazdaRX10G5 1.2 AT with Sunroof,Mazda,RX10,G5 1.2 AT with Sunroof,Hatchback,Automatic,Petrol,7,1,Red,5,9.4,"22,000",685269,342958,50
MitsubishiPajero FocusLXi,Mitsubishi,Pajero Focus,LXi,Sedan,Manual,Petrol,9,1,Silver,5,6.8,"49,000",641315,219120,65.8
FordFortuner3.0 4x2 MT,Ford,Fortuner,3.0 4x2 MT,SUV,Manual,Diesel,6,1,White,8.1,6.7,"76,000",3013628,1236140,59
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,Silver,6.4,9.2,"60,000",1525510,450000,70.5
MazdaClass RX20G5 1.2,Mazda,Class RX20,G5 1.2,Hatchback,Manual,Petrol,3,1,Red,4.5,4.6,"16,000",822103,641201,22
MitsubishiPajeroVXi 1.2 BS-IV,Mitsubishi,Pajero,VXi 1.2 BS-IV,Hatchback,Manual,Petrol,10,1,Blue,4.5,4.2,"65,000",536698,242550,54.8
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,10,1,Red,8.5,5.9,"50,000",394409,101409,74.3
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,10,1,Grey,7,9.6,"39,000",1585200,278838,82.4
MitsubishiEclipse 1.0VXi,Mitsubishi,Eclipse 1.0,VXi,Hatchback,Manual,Petrol,3,1,Silver,5,5.6,"14,000",520309,352182,32.3
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,6,1,White,4.6,4.8,"75,000",505259,256128,49.3
MitsubishiEclipse 1.0LxiLpg,Mitsubishi,Eclipse 1.0,LxiLpg,Hatchback,Manual,LPG,9,1,other,6.8,3.8,"28,000",457604,242550,47
MazdaDemioEra +,Mazda,Demio,Era +,Hatchback,Manual,Petrol,7,2,Silver,5,6.6,"50,000",442461,154000,65.2
FordPinto2.5 G 8 STR BS-III,Ford,Pinto,2.5 G 8 STR BS-III,MUV,Manual,diesel,4,1,White,4.3,7.2,"19,000",1465683,1112725,24.1
MitsubishiEclipse 1.0VXi,Mitsubishi,Eclipse 1.0,VXi,Hatchback,Manual,Petrol,6,1,Blue,4.5,4.2,"24,000",520309,317216,39
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Automatic,diesel,7,1,White,5,3.2,"1,50,000",870791,497200,42.9
FordMustangH2 1.8E,Ford,Mustang,H2 1.8E,Sedan,Manual,Petrol,11,1,White,5.2,9.6,"75,116",1306402,198000,84.8
MitsubishiEstiloVXi,Mitsubishi,Estilo,VXi,Hatchback,Manual,Petrol,9,1,Blue,5,9.4,"45,000",424393,110000,74.1
NissanKicks1.8Mt,Nissan,Kicks,1.8Mt,Hatchback,Manual,Petrol,11,2,White,6.7,9.9,"55,000",1402739,242550,82.7
MitsubishiA-StarVxi,Mitsubishi,A-Star,Vxi,Hatchback,Manual,Petrol,10,1,White,9.7,4.6,"45,224",470900,130858,72.2
MazdaRunnerGLS,Mazda,Runner,GLS,Sedan,Manual,Petrol,12,5,Blue,4.5,7.6,"76,628",950839,167200,82.4
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,10,1,Blue,4.5,7.9,"66,000",446864,171600,61.6
NissanKicks1.8vMtSunRoof,Nissan,Kicks,1.8vMtSunRoof,Sedan,Manual,Petrol,7,1,White,5,8,"45,000",1639822,417198,74.6
MitsubishiPajeroVDi,Mitsubishi,Pajero,VDi,Hatchback,Manual,Diesel,11,1,Maroon,5,8.8,"65,000",806541,176000,78.2
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,8,1,White,8.5,4.2,"57,000",738248,253006,65.7
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,8,1,Silver,4.3,5.7,"60,000",741508,310800,58.1
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,1,Black,7,9.2,"51,000",563323,184800,67.2
MitsubishiKizashiCVT,Mitsubishi,Kizashi,CVT,Sedan,Automatic,Petrol,7,1,Grey,4.8,4,"61,718",2205274,641200,70.9
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,10,1,Silver,4.5,5.4,"48,000",828687,206800,75
NissanMaximaSI-dtec,Nissan,Maxima,SI-dtec,Hatchback,Manual,Diesel,3,1,Maroon,4.3,8.4,"22,000",1214479,739200,39.1
MitsubishiEclipseVXI,Mitsubishi,Eclipse,VXI,Hatchback,Manual,Petrol,12,1,Red,5.7,6,"1,21,002",505259,132000,73.9
MazdaTitanFluidic 1.6 VTVT SX,Mazda,Titan,Fluidic 1.6 VTVT SX,Sedan,Manual,Petrol,5,1,White,4.3,9.9,"39,100",1046416,497200,52.5
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,6,1,Grey,4.5,5.4,"21,360",507718,342958,32.5
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,Diesel,9,1,Brown,4.6,7.7,"1,90,969",651184,185680,71.5
MazdaSpeed GL,Mazda,Speed ,GL,Hatchback,Manual,Petrol,12,2,Silver,6.8,7.8,"49,000",404202,105600,73.9
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Automatic,Petrol,11,2,Red,4.5,8.2,"70,000",1464334,265200,81.9
FordMustang AltisJDiesel,Ford,Mustang Altis,JDiesel,Sedan,Manual,diesel,8,1,Black,5.4,9.9,"1,00,000",1769888,450000,74.6
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,Diesel,4,1,Silver,3.8,9.9,"37,000",1217935,641200,47.4
MitsubishiEeco5 STR WITH A/C+HTR CNG,Mitsubishi,Eeco,5 STR WITH A/C+HTR CNG,Van,Manual,Petrol + CNG,2,1,Silver,4.6,7.5,"30,000",503628,366048,27.3
MitsubishiCrossZxi BS-IV,Mitsubishi,Cross,Zxi BS-IV,Hatchback,Automatic,CNG,8,1,Maroon,6.4,7.8,"65,334",637514,242550,62
MazdaAtenzaGLE,Mazda,Atenza,GLE,Sedan,Manual,Petrol,6,1,Red,6.8,5.6,"27,639",691111,265200,61.6
FordEdgeG,Ford,Edge,G,Sedan,Manual,Petrol,7,1,Red,4.5,8.5,"45,000",700234,260662,62.8
MitsubishiPajero FocusVXi 1.2 BS-IV,Mitsubishi,Pajero Focus,VXi 1.2 BS-IV,Sedan,Manual,Petrol,2,1,Grey,5.5,6.8,"3,500",653057,554368,15.1
FordFortuner3.0 4x4 AT,Ford,Fortuner,3.0 4x4 AT,SUV,Automatic,Diesel,5,1,White,3.8,9.7,"63,000",3354590,1591250,52.6
NissanMaximaS,Nissan,Maxima,S,Sedan,Manual,Petrol,8,1,White,4.5,9.9,"55,000",1036953,352182,66
MazdaRX10Laputa 1.2,Mazda,RX10,Laputa 1.2,Hatchback,Manual,Petrol,9,1,Red,6.8,6.4,"54,536",537850,224502,58.3
MazdaRX20Triton 1.4 CRDI,Mazda,RX20,Triton 1.4 CRDI,Hatchback,Manual,Diesel,6,1,White,4.8,5.3,"58,000",739676,355876,51.9
MitsubishiEclipse 1.0LXi,Mitsubishi,Eclipse 1.0,LXi,Hatchback,Manual,Petrol,2,1,Other,4.8,5.9,"20,000",490492,370678,24.4
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,12,2,Blue,6.8,4.4,"65,000",336331,110000,67.3
NissanMicra1.5 S i-DTEC,Nissan,Micra,1.5 S i-DTEC,Sedan,Manual,Diesel,5,1,Blue,4.6,6.6,"62,000",900907,389238,56.8
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,8,1,Red,9.9,7.2,"57,000",738248,274288,62.8
MazdaRX20Triton 1.4 CRDI,Mazda,RX20,Triton 1.4 CRDI,Hatchback,Manual,diesel,8,1,Brown,6.4,6,"64,241",739676,310800,58
FordMustang Altis1.8 G,Ford,Mustang Altis,1.8 G,Sedan,Manual,Petrol,8,1,White,4.3,9.9,"64,000",1525510,355876,76.7
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,1,Golden,8.6,7.2,"59,875",837628,195360,76.7
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,6,1,Silver,5,6.8,"38,000",482567,242550,49.7
MazdaRX10Laputa 1.2,Mazda,RX10,Laputa 1.2,Hatchback,Manual,Petrol,8,1,Grey,3.8,4.6,"97,077",537850,265200,50.7
MazdaTitan1.6 VTVT SX (O) AT,Mazda,Titan,1.6 VTVT SX (O) AT,Sedan,Automatic,Petrol,6,1,Grey,4.3,8.2,"49,000",1481629,530478,64.2
MitsubishiPajero FocusZXi 1.2 BS-IV,Mitsubishi,Pajero Focus,ZXi 1.2 BS-IV,Sedan,Manual,Petrol,3,1,Red,4.3,4.8,"18,000",761516,592800,22.2
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,5,1,Maroon,5,9.4,"28,000",996627,492462,50.6
MazdaTitanFluidic 1.6 CRDi SX Opt AT,Mazda,Titan,Fluidic 1.6 CRDi SX Opt AT,Sedan,Automatic,Diesel,6,1,White,4.3,7.6,"50,334",1431253,665550,53.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,3,1,Maroon,4.6,4,"39,000",870791,616950,29.2
MitsubishiPajeroZxi1.3,Mitsubishi,Pajero,Zxi1.3,Hatchback,Manual,Petrol,12,1,Blue,6.8,6.8,"67,622",640982,198000,69.1
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,6,1,White,3.8,3.6,"57,001",475198,287950,39.4
NissanMaxima1.5 V AT,Nissan,Maxima,1.5 V AT,Sedan,Automatic,Petrol,9,2,Silver,6.4,9.2,"76,136",1139496,403200,64.6
MitsubishiPajeroZXi,Mitsubishi,Pajero,ZXi,Hatchback,Manual,Petrol,5,1,White,8.5,5.8,"39,000",598134,389145,34.9
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,12,1,Grey,6.8,4.4,"70,000",563323,198000,64.9
MitsubishiSx4VXi,Mitsubishi,Sx4,VXi,Sedan,Manual,Petrol,8,1,Silver,4.5,5.2,"42,650",750204,260662,65.3
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,1,Red,6.8,6,"49,431",563323,220000,60.9
MitsubishiSx4VdiBs-iv,Mitsubishi,Sx4,VdiBs-iv,Sedan,Manual,diesel,6,1,Silver,5.7,4.8,"50,000",795694,464118,41.7
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,7,1,Golden,4.3,9.9,"54,000",944779,384592,59.3
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,CNG,11,2,other,6.8,3.4,"68,000",475198,198000,58.3
MazdaGrand RX10Triton 1.2 Grind VTVT,Mazda,Grand RX10,Triton 1.2 Grind VTVT,Hatchback,Manual,Petrol,4,1,White,5,4,"13,000",633709,473550,25.3
FordEdgeV,Ford,Edge,V,Sedan,Manual,diesel,8,2,Blue,6.4,3.4,"65,000",781928,516192,34
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,9,1,other,6.4,8,"62,000",996627,356800,64.2
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,10,1,Red,6.8,4.6,"15,321",446864,202400,54.7
NissanMaxima ZxVTEC,Nissan,Maxima Zx,VTEC,Sedan,Manual,Petrol,12,1,Silver,5.5,9.6,"52,000",939019,215600,77
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,diesel,5,1,White,5,5.4,"65,000",944779,665550,29.6
NissanKicks1.8V AT,Nissan,Kicks,1.8V AT,Sedan,Automatic,Petrol,8,1,Silver,4.3,9.9,"60,000",1675849,352182,79
NissanMaxima ZxEXi,Nissan,Maxima Zx,EXi,Sedan,Manual,Petrol,12,2,Silver,4.5,8.1,"73,000",771954,154000,80.1
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,1,White,5,8.9,"54,630",996627,352182,64.7
FordMustang AltisGL Petrol,Ford,Mustang Altis,GL Petrol,Sedan,Manual,Petrol,4,1,Grey,4.5,7,"15,200",2212392,1220750,44.8
NissanMicra1.5 S i-DTEC,Nissan,Micra,1.5 S i-DTEC,Sedan,Manual,Diesel,4,1,White,3.5,9.8,"54,000",900907,450000,50.1
FordFortuner3.0 4x2 AT,Ford,Fortuner,3.0 4x2 AT,SUV,Automatic,Diesel,4,1,White,8.5,7.6,"30,000",3133263,1721224,45.1
MitsubishiChallenger 800LXI CNG,Mitsubishi,Challenger 800,LXI CNG,Hatchback,Manual,CNG,5,1,Blue,3.3,8.2,"68,000",431012,238032,44.8
NissanMaximaVMtDiesel,Nissan,Maxima,VMtDiesel,Sedan,Manual,Diesel,3,1,Silver,9.2,9.4,"46,859",1257051,763950,39.2
MazdaSpeed Xl,Mazda,Speed ,Xl,Hatchback,Manual,Petrol,12,1,Silver,4.5,9.9,"63,000",432991,87999,79.7
NissanMaxima1.5 S MT,Nissan,Maxima,1.5 S MT,Sedan,Manual,Petrol,5,1,Silver,4.5,7.6,"31,500",944779,573552,39.3
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,1,Red,4.5,4.2,"60,148",585070,310800,46.9
MazdaRX10Triton 1.2,Mazda,RX10,Triton 1.2,Hatchback,Manual,Petrol,9,1,Golden,8.5,4,"67,000",482567,220000,54.4
MazdaRX10Laputa 1.2 AT Grind2,Mazda,RX10,Laputa 1.2 AT Grind2,Hatchback,Automatic,Petrol,5,1,White,4.5,8.2,"11,000",610408,379950,37.8
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,5,1,Silver,4.6,5.4,"67,000",533447,306222,42.6
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,5,1,White,4.3,9.9,"38,000",738248,413462,44
MitsubishiPajero FocusZDI,Mitsubishi,Pajero Focus,ZDI,Sedan,Manual,diesel,6,1,Red,6.4,3.8,"38,000",942668,568750,39.7
MitsubishiEclipseLxiLpg,Mitsubishi,Eclipse,LxiLpg,Hatchback,Manual,Petrol + LPG,6,1,Brown,5,7.3,"40,000",457604,260662,43
FordFortuner3.0 4x4 MT,Ford,Fortuner,3.0 4x4 MT,SUV,Manual,diesel,6,1,White,5.4,9.8,"65,000",3234954,1520000,53
NissanMaximaSvI-dtec,Nissan,Maxima,SvI-dtec,Hatchback,Manual,Diesel,4,1,Silver,8.3,8.7,"42,000",1299622,749088,42.4
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,7,1,White,4.5,7.8,"22,000",738248,356800,51.7
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,2,Grey,6.8,8,"65,024",837628,247073,70.5
MazdaRX10Triton 1.1 iRDE2,Mazda,RX10,Triton 1.1 iRDE2,Hatchback,Manual,Petrol,6,1,Red,4.5,4.2,"28,000",541570,302562,44.1
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,1,White,4.3,6.5,"64,440",585070,242550,58.5
NissanMicra1.2 S AT i-VTEC,Nissan,Micra,1.2 S AT i-VTEC,Sedan,Automatic,Petrol,3,1,Red,4.5,6.9,"12,500",870605,511438,41.3
MitsubishiEclipse 1.0LXi CNG (O),Mitsubishi,Eclipse 1.0,LXi CNG (O),Hatchback,Manual,Petrol + CNG,3,1,White,4.6,7.1,"39,000",554423,310800,43.9
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,6,1,White,4.8,4.2,"70,002",741508,398542,46.3
MitsubishiEclipse 1.0LXi CNG (O),Mitsubishi,Eclipse 1.0,LXi CNG (O),Hatchback,Manual,Petrol + CNG,3,1,Brown,3.3,8.9,"52,000",554423,310800,43.9
MitsubishiEclipse 1.0LXi CNG (O),Mitsubishi,Eclipse 1.0,LXi CNG (O),Hatchback,Manual,Petrol + CNG,2,1,Silver,9.8,7.9,"37,700",554423,356800,35.6
MitsubishiEclipse 1.0LXi CNG,Mitsubishi,Eclipse 1.0,LXi CNG,Hatchback,Manual,Petrol + CNG,3,1,Blue,4.8,9.7,"35,000",533447,310800,41.7
MitsubishiSx4ZxiBs-iv,Mitsubishi,Sx4,ZxiBs-iv,Sedan,Manual,Petrol,8,1,Silver,6.8,4.2,"38,000",836766,342958,59
FordPinto2.5 G 7 STR BS-IV,Ford,Pinto,2.5 G 7 STR BS-IV,MUV,Manual,Diesel,6,1,Silver,4.6,9.1,"92,000",1475247,879088,40.4
MitsubishiPajeroVxi1.3,Mitsubishi,Pajero,Vxi1.3,Hatchback,Manual,Petrol,11,1,White,6.8,5,"50,000",563323,310800,44.8
MitsubishiSx4VXI CNG BS-IV,Mitsubishi,Sx4,VXI CNG BS-IV,Sedan,Manual,Petrol,7,1,White,4.3,7.2,"43,200",864940,333750,61.4
MazdaTitanFluidic 1.6 CRDi SX AT,Mazda,Titan,Fluidic 1.6 CRDi SX AT,Sedan,Automatic,Diesel,5,1,Purple,4.6,7,"61,000",1303739,641200,50.8
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,diesel,7,2,White,3.3,7.4,"1,04,000",1217935,544800,55.3
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,6,1,White,4.3,6.6,"42,516",585070,370678,36.6
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,diesel,10,2,Beige,6.8,6,"61,000",1317441,568750,56.8
NissanMicra1.5 E i-DTEC,Nissan,Micra,1.5 E i-DTEC,Sedan,Manual,Diesel,5,1,Red,4.6,5.9,"64,000",813578,421872,48.1
NissanMaxima ZxGXi,Nissan,Maxima Zx,GXi,Sedan,Manual,Petrol,11,2,Grey,4.3,9.9,"83,000",837628,154000,81.6
MazdaGrand RX10Triton 1.1 CRDi,Mazda,Grand RX10,Triton 1.1 CRDi,Hatchback,Manual,Diesel,2,1,White,9.9,5.7,"7,093",710371,525712,26
MitsubishiSx4ZxiBs-iv,Mitsubishi,Sx4,ZxiBs-iv,Sedan,Manual,Petrol,7,1,White,6.1,4.4,"55,801",836766,357724,57.2
MitsubishiEstiloLXi,Mitsubishi,Estilo,LXi,Hatchback,Manual,Petrol,7,1,Brown,6.8,5.2,"38,063",394409,224502,43.1
NissanMaxima1.5 V MT,Nissan,Maxima,1.5 V MT,Sedan,Manual,Petrol,8,1,Silver,6.8,5.8,"30,000",996627,468832,53
NissanBirdSI-vtec,Nissan,Bird,SI-vtec,Hatchback,Manual,Petrol,3,1,White,5,4.6,"7,200",763822,544800,28.7
MazdaRX10Laputa 1.2,Mazda,RX10,Laputa 1.2,Hatchback,Manual,Petrol,6,1,Grey,5,7.4,"18,800",537850,265200,50.7
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,6,2,Blue,9.9,8.3,"58,000",870791,389238,55.3
MitsubishiPajero FocusTour,Mitsubishi,Pajero Focus,Tour,Sedan,Manual,Diesel,3,1,White,7.4,9.1,"80,000",920437,450000,51.1
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,diesel,12,2,Silver,6.1,6,"1,13,000",1317441,459408,65.1
MitsubishiEclipseLXI,Mitsubishi,Eclipse,LXI,Hatchback,Manual,Petrol,12,2,Brown,6.8,6.6,"80,000",475198,154000,67.6
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,2,other,6.4,7.2,"75,000",585070,242550,58.5
MitsubishiChallengerLXi BS-III,Mitsubishi,Challenger,LXi BS-III,Hatchback,Manual,Petrol,10,1,Blue,6.8,7.2,"60,386",342090,123200,64
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,Diesel,6,1,Silver,8.1,7.4,"82,000",1317441,981231,25.5
NissanKicks1.8S MT,Nissan,Kicks,1.8S MT,Sedan,Manual,Petrol,12,1,Silver,5,9.4,"65,000",1464334,171600,88.3
FordEdgeG,Ford,Edge,G,Sedan,Manual,CNG,7,5,Red,3.8,8.6,"78,000",700234,292512,58.2
MazdaTitanFluidic 1.6 CRDi SX,Mazda,Titan,Fluidic 1.6 CRDi SX,Sedan,Manual,diesel,7,1,White,6.4,4.2,"46,000",1217935,621792,48.9
MitsubishiCrossVdi BS-IV,Mitsubishi,Cross,Vdi BS-IV,Hatchback,Manual,Diesel,7,2,Brown,4.6,7.5,"84,432",651184,242550,62.8
MazdaRX20Triton 1.4 CRDI,Mazda,RX20,Triton 1.4 CRDI,Hatchback,Manual,Diesel,7,1,White,4.5,7.4,"45,000",739676,310800,58
NissanTerrano2.4 AT,Nissan,Terrano,2.4 AT,Sedan,Automatic,Petrol,7,1,Black,4.5,6.2,"40,557",2426682,788800,67.5
MitsubishiPajero FocusVDi,Mitsubishi,Pajero Focus,VDi,Sedan,Manual,Diesel,9,2,Silver,8.5,6.6,"45,000",870791,253863,70.8
NissanMaxima1.5 S AT,Nissan,Maxima,1.5 S AT,Sedan,Automatic,Petrol,9,2,Grey,6.4,8,"70,000",1041562,403200,61.3
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,9,1,Beige,6.8,5.6,"43,000",446864,211200,52.7
NissanMicra1.2 E i-VTEC,Nissan,Micra,1.2 E i-VTEC,Sedan,Manual,Petrol,5,1,White,5.7,4.6,"47,856",655769,592800,9.6
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,9,1,White,4.5,7.9,"50,000",585070,241646,58.7
MazdaSpeed GLS,Mazda,Speed ,GLS,Hatchback,Manual,Petrol,7,1,Grey,6.1,4.6,"56,000",457174,265200,42
NissanTerrano2.4EleganceMt,Nissan,Terrano,2.4EleganceMt,Sedan,Manual,Petrol,8,2,Black,9.9,9.9,"65,000",2370072,450000,81
MitsubishiEclipse 1.0VXi,Mitsubishi,Eclipse 1.0,VXi,Hatchback,Manual,Petrol,7,1,Other,6.2,4.6,"45,555",520309,309884,40.4
MitsubishiPajero FocusVXi,Mitsubishi,Pajero Focus,VXi,Sedan,Manual,Petrol,5,1,White,4.3,7.4,"44,000",741508,379950,48.8
MazdaRX10G51.2,Mazda,RX10,G51.2,Hatchback,Manual,Petrol,9,1,other,6.8,5,"13,000",589156,333750,43.4
MitsubishiEstiloVXi,Mitsubishi,Estilo,VXi,Hatchback,Manual,Petrol,11,1,Red,6.8,5.8,"55,000",424393,145200,65.8
MitsubishiSx4ZXi,Mitsubishi,Sx4,ZXi,Sedan,Manual,Petrol,8,1,White,5.2,6,"57,000",828687,352182,57.5
MitsubishiEclipse 1.0Lxi(o),Mitsubishi,Eclipse 1.0,Lxi(o),Hatchback,Manual,Petrol,2,1,White,9.9,5.2,"1,500",531852,464118,12.7
NissanMaximaIVtecCvtVx,Nissan,Maxima,IVtecCvtVx,Hatchback,Automatic,Petrol,2,1,Silver,5,8.8,"15,000",1514307,1063125,29.8
FordPinto2.5 V 7 STR,Ford,Pinto,2.5 V 7 STR,MUV,Manual,Diesel,8,1,Golden,5,8.1,"61,000",1317441,724398,45
MazdaRX10Era,Mazda,RX10,Era,Hatchback,Manual,Petrol,10,1,Black,6.8,5.6,"41,000",446864,198000,55.7
NissanMaxima1.5EMtI-vtec,Nissan,Maxima,1.5EMtI-vtec,MUV,Manual,Petrol,9,1,White,6.8,4.4,"44,000",930953,379950,59.2
MitsubishiPajeroZDi,Mitsubishi,Pajero,ZDi,Hatchback,Manual,diesel,5,1,White,5,5.6,"60,000",879273,511438,41.8
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,5,1,Grey,6.7,5.6,"33,000",585070,412528,29.5
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,9,1,Grey,5,5.9,"41,145",507718,233518,54
MazdaRX10Laputa 1.2 AT,Mazda,RX10,Laputa 1.2 AT,Hatchback,Automatic,Petrol,8,1,White,4.5,7.8,"45,410",581615,306222,47.3
NissanKicks1.8V MT,Nissan,Kicks,1.8V MT,Sedan,Manual,Petrol,8,1,Grey,4,8,"83,470",1585200,379950,76
MitsubishiPajero FocusTour,Mitsubishi,Pajero Focus,Tour,Sedan,Manual,Diesel,2,1,White,3.9,9.4,"43,000",920437,389238,57.7
MazdaRX20G5 1.2,Mazda,RX20,G5 1.2,Hatchback,Manual,Petrol,8,1,Black,4.8,7.6,"88,000",738248,242550,67.1
NissanMaximaZx,Nissan,Maxima,Zx,Sedan,Manual,Petrol,12,1,other,6.8,9.9,"54,731",921736,158400,82.8
MazdaRX10Triton,Mazda,RX10,Triton,Hatchback,Manual,Petrol,8,1,White,6.8,4.6,"6,500",462988,384592,16.9
MitsubishiPajeroVXi,Mitsubishi,Pajero,VXi,Hatchback,Manual,Petrol,4,1,White,3.8,4.2,"42,000",507718,473550,6.7
MitsubishiPajero FocusVXi 1.2 BS-IV,Mitsubishi,Pajero Focus,VXi 1.2 BS-IV,Sedan,Manual,Petrol,8,2,Silver,4.3,7.8,"76,000",653057,260662,60.1
MazdaRX20Triton 1.2,Mazda,RX20,Triton 1.2,Hatchback,Manual,Petrol,5,1,Silver,5.7,5.4,"45,100",585070,459408,21.5
MitsubishiChallenger K10VXi,Mitsubishi,Challenger K10,VXi,Hatchback,Manual,Petrol,6,1,White,3.8,5,"52,687",436340,242550,44.4
MitsubishiChallengerLXI,Mitsubishi,Challenger,LXI,Hatchback,Manual,Petrol,7,2,Red,6.4,3.4,"48,254",336331,238032,29.2
FordPinto2.5 G 7 STR BS-IV,Ford,Pinto,2.5 G 7 STR BS-IV,MUV,Manual,Diesel,8,1,Grey,4.8,8.7,"95,000",1475247,734262,50.2
MazdaRX101.1L iRDE ERA Special Edition,Mazda,RX10,1.1L iRDE ERA Special Edition,Hatchback,Manual,Petrol,10,1,Red,5,9.4,"51,000",499369,171600,65.6
MitsubishiPajeroLDi,Mitsubishi,Pajero,LDi,Hatchback,Manual,Diesel,7,1,Grey,4.8,4.2,"70,000",566633,310800,45.1
